题号,难度,第一次,第二次,第三次,第四次,第五次,类型/考察点,小结
#287 寻找重复数,中等,2020年5月26日 下午11:56,,,,,,二分查找还不是很熟练，主要是跳出循环的判断条件到底是l<r，还是l<=r
#42 接雨水,困难,2020年5月24日 上午1:00,,,,,,
#76 最小覆盖子串,困难,2020年5月23日 下午8:00,,,,,,
#641 设计循环双端队列,中等,2020年5月23日 下午4:00,,,,,,
#239 滑动窗口最大值,困难,2020年5月22日 下午11:40,,,,,,用栈优化O(n+k)
#84 柱状图中最大的矩形,困难,2020年5月22日 下午11:00,,,,,栈,用的动态规划（O(N^2)），改用栈优化O(n)
#155 最小栈,简单,2020年5月22日 下午5:00,,,,,栈,双栈
#20 有效的括号,简单,2020年5月22日 下午4:00,,,,,栈,最近问题用栈解决
#25 K 个一组翻转链表,困难,2020年5月22日 上午4:17,,,,,递归,没看题解，一遍过，外面鸟都开始叫了
#142 环形链表 II,中等,2020年5月22日 上午2:55,,,,,链表/快慢指针,
#24 两两交换链表中的节点,中等,2020年5月22日 上午2:44,,,,,链表,有了上一题的经验后，马上就写出了递归的写法。每天写迭代的版本。
#206 反转链表,简单,2020年5月22日 上午2:35,,,,,链表,总是写不出完美简介的，此类问题适合在面试前复习
#105 从前序与中序遍历序列构造二叉树,中等,2020年5月22日 上午12:00,,,,,递归,
#5 最长回文子串,中等,2020年5月21日 上午12:00,,,,,动态规划,
#141 环形链表,简单,2020年5月20日 上午12:00,,,,,快慢指针,
#1 两数之和,简单,2020年5月20日 上午12:00,,,,,双指针,
#70 爬楼梯,简单,2020年5月20日 上午12:00,,,,,简单动态规划,
#15 三数之和,中等,2020年5月20日 上午12:00,,,,,双指针,
#11 盛最多水的容器,中等,2020年5月20日 上午12:00,,,,,双指针,
#283 移动零,简单,2020年5月19日 上午12:00,,,,,双指针,
#1371 每个元音包含偶数次的最长子字符串,中等,2020年5月19日 上午12:00,,,,,动态规划+状态压缩,
#1000026 LRU缓存,中等,2020年5月19日 上午12:00,,,,,双向链表,
#680 验证回文字符串 Ⅱ,简单,2020年5月18日 上午12:00,,,,,数组,
152 乘积最大子数组,中等,2020年5月17日 上午12:00,,,,,动态规划,
#125 验证回文串,简单,2020年5月17日 上午12:00,,,,,数组双指针,
#210 课程表 II,中等,2020年5月17日 上午12:00,,,,,拓扑排序,
#799 香槟塔,中等,2020年5月16日 上午12:00,,,,,模拟,
